corporation,sector,newsroom_url
AT&T,Communications Services,https://about.att.com/
Youtube,Communications Services,https://blog.youtube/news-and-events/
Google,Communications Services,https://blog.google/press/
Charter Communications/Spectrum,Communications Services,https://corporate.charter.com/newsroom
NBC Universal,Communications Services,https://www.nbcuniversal.com/newsroom
Comcast,Communications Services,https://corporate.comcast.com/press
Amazon,Consumer Discretionary,https://press.aboutamazon.com/press-release-archive
Shopbop,Consumer Discretionary,https://www.aboutamazon.com/news
Jazwares,Consumer Discretionary,https://jazwares.ca/newsroom
General Motors,Consumer Discretionary,https://news.gm.com/newsroom.html
Home Depot,Consumer Discretionary,https://corporate.homedepot.com/page/newsroom
Lowe's,Consumer Discretionary,https://corporate.lowes.com/newsroom/press-releases
Xbox,Consumer Discretionary,https://news.xbox.com/en-us/?xr=footnav
Nike,Consumer Discretionary,https://about.nike.com/en/newsroom
Bounty,Consumer Discretionary,https://us.pg.com/newsroom/
Olay,Consumer Discretionary,https://us.pg.com/newsroom/
Pantene,Consumer Discretionary,https://us.pg.com/newsroom/
Secret,Consumer Discretionary,https://us.pg.com/newsroom/
Gillette,Consumer Discretionary,https://us.pg.com/newsroom/
Bounce,Consumer Discretionary,https://us.pg.com/newsroom/
Tide,Consumer Discretionary,https://us.pg.com/newsroom/
Vick's,Consumer Discretionary,https://us.pg.com/newsroom/
Old Spice,Consumer Discretionary,https://news.pg.com/news-releases/news-details/2023/Old-Spice-Delivers-Smelf-Confidence-Under-the-Spotlight-with-New-Musical-Inspired-Campaign/default.aspx
Target,Consumer Discretionary,https://corporate.target.com/press
Tesla,Consumer Discretionary,https://www.tesla.com/blog
Walmart,Consumer Discretionary,https://corporate.walmart.com/content/corporate/en_us/news.html
Albertsons,Consumer Staples,https://www.albertsonscompanies.com/newsroom/press-releases/default.aspx
Whole Foods,Consumer Staples,https://media.wholefoodsmarket.com/news/
CVS,Consumer Staples,https://www.cvshealth.com/news/
Coca-Cola,Consumer Staples,https://www.coca-colacompany.com/news
Costco,Consumer Staples,https://investor.costco.com/news/default.aspx
Kroger,Consumer Staples,https://ir.kroger.com/News/
Pepsi,Consumer Staples,https://www.pepsico.com/our-stories/press-releases
Procter & Gamble,Consumer Staples,https://news.pg.com/news-releases/default.aspx
Pampers,Consumer Staples,https://us.pg.com/newsroom/
Downy,Consumer Staples,https://downy.com/en-us/news
Febreze,Consumer Staples,https://us.pg.com/newsroom/
Crest,Consumer Staples,https://www.haleon.com/news/press-releases
Gain,Consumer Staples,https://www.loreal.com/en/mediaroom/
Tampax,Consumer Staples,https://us.pg.com/newsroom/
Publix,Consumer Staples,https://corporate.publix.com/newsroom/category/press-releases
Sysco,Consumer Staples,https://www.sysco.com/latest-at-sysco
Tyson Foods,Consumer Staples,https://www.tysonfoods.com/news/news-releases
Sam's Club,Consumer Staples,https://corporate.walmart.com/news.tag=corporate:samsclub
Pilot Flying J,Energy,https://newsroom.pilotcompany.com/
Chevron,Energy,https://www.chevron.com/newsroom?utm_source=GGL&utm_medium=cpc&utm_campaign=Chevron_National_Brand_News_Exact&gad_source=1&gbraid=0AAAAADlXohr2D2Tnrdw-HfG42Cp63q5lr&gclid=CjwKCAjwnK60BhA9EiwAmpHZwxGBs7xr6Cc9xNk3oLf5fFwbFURCqfj34VLQv7o3WacQ_33SCQhddBoCPwoQAvD_BwE&gclsrc=aw.ds
ConocoPhillips,Energy,https://www.conocophillips.com/news-media/
Energy Transfer,Energy,https://www.energytransfer.com/newsroom/
Enterprise Products Partners,Energy,https://ir.enterpriseproducts.com/press-releases
Marathon Petroleum,Energy,https://www.marathonpetroleum.com/Newsroom/Company-News/
Phillips 66,Energy,https://www.phillips66.com/newsroom/
Valero Energy,Energy,https://www.valero.com/about/news-room
AllState,Financials,https://www.allstatecorporation.com/newsroom.aspx
American Express,Financials,https://about.americanexpress.com/newsroom/
