,corporation,sector,newsroom_url
0,AT&T,Communications Services,https://about.att.com/
1,Google,Communications Services,https://blog.google/press/
2,Youtube,Communications Services,https://blog.youtube/news-and-events/
3,Charter Communications/Spectrum,Communications Services,https://corporate.charter.com/newsroom
4,Comcast,Communications Services,https://corporate.comcast.com/press
5,NBC Universal,Communications Services,https://www.nbcuniversal.com/newsroom
6,Amazon,Consumer Discretionary,https://press.aboutamazon.com/press-release-archive
7,Shopbop,Consumer Discretionary,https://www.aboutamazon.com/news
8,Jazwares,Consumer Discretionary,https://jazwares.ca/newsroom
9,General Motors,Consumer Discretionary,https://news.gm.com/newsroom.html
10,Home Depot,Consumer Discretionary,https://corporate.homedepot.com/page/newsroom
11,Lowe's,Consumer Discretionary,https://corporate.lowes.com/newsroom/press-releases
12,Xbox,Consumer Discretionary,https://news.xbox.com/en-us/?xr=footnav
13,Nike,Consumer Discretionary,https://about.nike.com/en/newsroom
14,Pantene,Consumer Discretionary,https://us.pg.com/newsroom/
15,Vick's,Consumer Discretionary,https://us.pg.com/newsroom/
16,Old Spice,Consumer Discretionary,https://news.pg.com/news-releases/news-details/2023/Old-Spice-Delivers-Smelf-Confidence-Under-the-Spotlight-with-New-Musical-Inspired-Campaign/default.aspx
17,Gillette,Consumer Discretionary,https://us.pg.com/newsroom/
18,Bounty,Consumer Discretionary,https://us.pg.com/newsroom/
19,Bounce,Consumer Discretionary,https://us.pg.com/newsroom/
20,Tide,Consumer Discretionary,https://us.pg.com/newsroom/
21,Secret,Consumer Discretionary,https://us.pg.com/newsroom/
22,Olay,Consumer Discretionary,https://us.pg.com/newsroom/
23,Target,Consumer Discretionary,https://corporate.target.com/press
24,Tesla,Consumer Discretionary,https://www.tesla.com/blog
25,Walmart,Consumer Discretionary,https://corporate.walmart.com/content/corporate/en_us/news.html
26,Albertsons,Consumer Staples,https://www.albertsonscompanies.com/newsroom/press-releases/default.aspx
27,Whole Foods,Consumer Staples,https://media.wholefoodsmarket.com/news/
28,CVS,Consumer Staples,https://www.cvshealth.com/news/press-releases.html
29,Coca-Cola,Consumer Staples,https://www.coca-colacompany.com/news
30,Costco,Consumer Staples,https://investor.costco.com/news/default.aspx
31,Kroger,Consumer Staples,https://ir.kroger.com/News/
32,Pepsi,Consumer Staples,https://www.pepsico.com/our-stories/press-releases
33,Procter & Gamble,Consumer Staples,https://news.pg.com/news-releases/default.aspx
34,Crest,Consumer Staples,https://www.haleon.com/news/press-releases
35,Pampers,Consumer Staples,https://us.pg.com/newsroom/
36,Tampax,Consumer Staples,https://us.pg.com/newsroom/
37,Downy,Consumer Staples,https://downy.com/en-us/news
38,Febreze,Consumer Staples,https://us.pg.com/newsroom/
39,Gain,Consumer Staples,https://www.loreal.com/en/mediaroom/
40,Publix,Consumer Staples,https://corporate.publix.com/newsroom/category/press-releases
41,Sysco,Consumer Staples,https://www.sysco.com/latest-at-sysco
42,Tyson Foods,Consumer Staples,https://www.tysonfoods.com/news/news-releases
43,Sam's Club,Consumer Staples,https://corporate.walmart.com/news.tag=corporate:samsclub
44,Pilot Flying J,Energy,https://newsroom.pilotcompany.com/
45,Chevron,Energy,https://www.chevron.com/newsroom?utm_source=GGL&utm_medium=cpc&utm_campaign=Chevron_National_Brand_News_Exact&gad_source=1&gbraid=0AAAAADlXohr2D2Tnrdw-HfG42Cp63q5lr&gclid=CjwKCAjwnK60BhA9EiwAmpHZwxGBs7xr6Cc9xNk3oLf5fFwbFURCqfj34VLQv7o3WacQ_33SCQhddBoCPwoQAvD_BwE&gclsrc=aw.ds
46,ConocoPhillips,Energy,https://www.conocophillips.com/news-media/
47,Energy Transfer,Energy,https://www.energytransfer.com/newsroom/
48,Enterprise Products Partners,Energy,https://ir.enterpriseproducts.com/press-releases
49,Marathon Petroleum,Energy,https://www.marathonpetroleum.com/Newsroom/Company-News/
50,Phillips 66,Energy,https://www.phillips66.com/newsroom/
51,Valero Energy,Energy,https://www.valero.com/about/news-room
52,AllState,Financials,https://www.allstatecorporation.com/newsroom.aspx
53,American Express,Financials,https://about.americanexpress.com/newsroom/
54,Bank of America,Financials,https://newsroom.bankofamerica.com/content/newsroom/press-releases.html
55,Geico,Financials,https://www.geico.com/about/pressreleases/
56,Berkshire Hathaway,Financials,https://www.berkshirehathaway.com/news/2025news.html
57,Capital One,Financials,https://www.capitalone.com/about/newsroom/
58,Fannie Mae,Financials,https://www.fanniemae.com/newsroom
59,Freddie Mac,Financials,https://www.freddiemac.com/media-room
60,Goldman Sachs,Financials,https://www.goldmansachs.com/media-relations/press-releases-and-comments/current/
61,First Republic Bank,Financials,https://www.jpmorganchase.com/newsroom
62,JPMorgan Chase,Financials,https://www.jpmorganchase.com/ir/news
63,MetLife,Financials,https://www.metlife.com/about-us/newsroom/
64,Morgan Stanley,Financials,https://www.morganstanley.com/im/en-us/institutional-investor/about-us/newsroom.html
65,Nationwide Insurance,Financials,https://news.nationwide.com/
66,New York Life,Financials,https://www.newyorklife.com/newsroom/press-resources/press-releases
67,Prudential Financial,Financials,https://news.prudential.com/overview/default.aspx
68,TIAA,Financials,https://www.tiaa.org/public/about-tiaa/news-press
69,USAA,Financials,https://newsroom.usaa360.com/news/
70,Wells Fargo,Financials,https://newsroom.wf.com/English/home/default.aspx
71,ImmunoGen,Healthcare,https://news.abbvie.com/?utm_medium=cpc&utm_campaign=ppp_2025&utm_source=google&utm_content=igp&utm_term=news&cid=ppc_CV10a9beddc8ce4454a3a2d463a0e9d5a2&gclsrc=aw.ds&gad_source=1&gad_campaignid=19901728071&gbraid=0AAAAAChQZNzWxNBwAgwxy6IgwVQLKuaox&gclid=Cj0KCQjwzt_FBhCEARIsAJGFWVnBdSK7HFdV6Q2qLtKzK_ummmB7EfhNVgqZwxrk453TaKf9PsGrCLYaAkLOEALw_wcB
72,AbbVie,Healthcare,https://news.abbvie.com/news/press-releases/
73,Cardinal Health,Healthcare,https://newsroom.cardinalhealth.com/
74,Cencora,Healthcare,https://www.cencora.com/newsroom
75,Centene,Healthcare,https://www.centene.com/news.html
76,Cigna/Express Scripts,Healthcare,https://newsroom.cigna.com/latest-press-releases
77,Elevance Health,Healthcare,https://www.elevancehealth.com/newsroom
78,Eli Lilly,Healthcare,https://www.lilly.com/news/press-releases
79,HCA Healthcare,Healthcare,https://investor.hcahealthcare.com/news/default.aspx
80,Humana,Healthcare,https://news.humana.com/press-room/press-releases
81,Johnson & Johnson/Janssen,Healthcare,https://www.jnj.com/media-center/press-releases
82,McKesson,Healthcare,https://www.mckesson.com/about-mckesson/newsroom/press-releases/
83,Merck,Healthcare,https://www.merck.com/media/news/
84,Pfizer,Healthcare,https://www.pfizer.com/newsroom
85,UnitedHealth Group,Healthcare,https://www.unitedhealthgroup.com/newsroom.html
86,BNSF,Industrials,https://www.bnsf.com/news-media/index.page
87,Boeing,Industrials,https://boeing.mediaroom.com/
88,Caterpillar,Industrials,https://www.caterpillar.com/en/news/caterpillarNews.html
89,FedEx,Industrials,https://newsroom.fedex.com/
90,General Dynamics,Industrials,https://www.gd.com/news
91,Lockheed Martin,Industrials,https://news.lockheedmartin.com/news-releases
92,RTX,Industrials,https://www.rtx.com/news
93,Raytheon,Industrials,https://www.rtx.com/news
94,UPS,Industrials,https://about.ups.com/us/en/newsroom.html
95,Apple,Information Technology,https://www.apple.com/newsroom/
96,Broadcom,Information Technology,https://www.broadcom.com/company/news
97,Cisco,Information Technology,https://newsroom.cisco.com/c/r/newsroom/en/us/press-room/press-releases.html
98,Dell,Information Technology,https://www.dell.com/en-us/dt/corporate/newsroom.htm
99,IBM,Information Technology,https://newsroom.ibm.com/
100,Red Hat,Information Technology,https://www.redhat.com/en/about/newsroom
101,Ingram Micro,Information Technology,https://ir.ingrammicro.com/press-releases
102,Intel,Information Technology,https://www.intel.com/content/www/us/en/newsroom/news-stories.html
103,Microsoft,Information Technology,https://news.microsoft.com/category/press-releases/
104,Nvidia,Information Technology,https://nvidianews.nvidia.com/
105,Oracle,Information Technology,https://www.oracle.com/news/
106,TD Synnex,Information Technology,https://ir.synnex.com/news/synnex-press-releases/default.aspx
